"word","partOfSpeech","definition","exampleSentence","sourceGroup"
"inextricable","adjective","hopelessly tangled or entangled","Someone who is inextricable is hopelessly tangled or entangled, and the character seemed exactly that.","Unit 17"
"infamy","noun","notoriety, extreme ill repute","The word infamy refers to notoriety, extreme ill repute, and that meaning fits the scene.","Unit 04"
"infer","verb","to conclude based on reasoning or evidence Important Note: The SAT reading section will require you to make several inferences based on the passages. You must reach these conclusions through reasoning. Consider an example: Malia had a hard time maneuvering on her crutches while carrying the open umbrella in the pouring rain. ? Inference: Malia has an injury. ?","To infer means to conclude based on reasoning or evidence Important Note: The SAT reading section will require you to make several inferences based on the passages. You must reach these conclusions through reasoning. Consider an example: Malia had a hard time maneuvering on her crutches while carrying the open umbrella in the pouring rain. ? Inference: Malia has an injury. ?, so the group chose to infer before the problem became worse.","Unit 13"
"infusion","noun","an injection of one substance into another; the permeation of one substance by another","The word infusion refers to an injection of one substance into another; the permeation of one substance by another, and that meaning fits the scene.","Unit 33"
"ingenious","adjective","clever and inventive","Someone who is ingenious is clever and inventive, and the character seemed exactly that.","Unit 31"
"ingenue","noun","an artless, innocent young girl (especially as portrayed on the stage)","The word ingenue refers to an artless, innocent young girl (especially as portrayed on the stage), and that meaning fits the scene.","Unit 42"
"ingenuous","adjective","not devious; innocent and candid","Someone who is ingenuous is not devious; innocent and candid, and the character seemed exactly that.","Unit 06"
"inherent","adjective","existing as a natural and essential characteristic","Someone who is inherent is existing as a natural and essential characteristic, and the character seemed exactly that.","Unit 29"
"inhibit","verb","to limit; to hold back","To inhibit means to limit; to hold back, so the group chose to inhibit before the problem became worse.","Unit 29"
"inimical","adjective","harmful or hostile","Someone who is inimical is harmful or hostile, and the character seemed exactly that.","Unit 25"
"iniquity","noun","wickedness or sin","The word iniquity refers to wickedness or sin, and that meaning fits the scene.","Unit 39"
"injunction","noun","an order of official warning","The word injunction refers to an order of official warning, and that meaning fits the scene.","Unit 01"
"innate","adjective","inborn, native, inherent","Someone who is innate is inborn, native, inherent, and the character seemed exactly that.","Unit 23"
"innocuous","adjective","harmless","Someone who is innocuous is harmless, and the character seemed exactly that.","Unit 26"
"innovate","verb","to do something in an unprecedented way","To innovate means to do something in an unprecedented way, so the group chose to innovate before the problem became worse.","Unit 04"
"innovative","adjective","creative or the condition of being something new and unseen","Someone who is innovative is creative or the condition of being something new and unseen, and the character seemed exactly that.","Unit 33"
"innuendo","noun","an insinuation","The word innuendo refers to an insinuation, and that meaning fits the scene.","Unit 06"
"inoculate","verb","to introduce a microorganism, serum, or vaccine into an organism in order to increase immunity to illness; to vaccinate","To inoculate means to introduce a microorganism, serum, or vaccine into an organism in order to increase immunity to illness; to vaccinate, so the group chose to inoculate before the problem became worse.","Unit 24"
"inquisitive","adjective","showing curiosity; asking questions","Someone who is inquisitive is showing curiosity; asking questions, and the character seemed exactly that.","Unit 05"
"inquisitor","noun","one who inquires, especially in a hostile manner","The word inquisitor refers to one who inquires, especially in a hostile manner, and that meaning fits the scene.","Unit 11"
"insatiable","adjective","incapable of being satisfied","Someone who is insatiable is incapable of being satisfied, and the character seemed exactly that.","Unit 09"
"insidious","adjective","intended to entrap, deceive, or harm","Someone who is insidious is intended to entrap, deceive, or harm, and the character seemed exactly that.","Unit 20"
"insight","noun","a clear understanding of a situation","The word insight refers to a clear understanding of a situation, and that meaning fits the scene.","Unit 23"
"insinuate","verb","to suggest indirectly or subtly","To insinuate means to suggest indirectly or subtly, so the group chose to insinuate before the problem became worse.","Unit 33"
"insinuator","noun","a person who gives hints or suggestions in a sly manner","The word insinuator refers to a person who gives hints or suggestions in a sly manner, and that meaning fits the scene.","Unit 23"
"insipid","adjective","bland, dull, or uninteresting","Someone who is insipid is bland, dull, or uninteresting, and the character seemed exactly that.","Unit 23"
"insolence","noun","rudeness","The word insolence refers to rudeness, and that meaning fits the scene.","Unit 28"
"insolent","adjective","rude, arrogant, overbearing","Someone who is insolent is rude, arrogant, overbearing, and the character seemed exactly that.","Unit 43"
"instigate","verb","to urge, goad","To instigate means to urge, goad, so the group chose to instigate before the problem became worse.","Unit 20"
"insular","adjective","narrow-minded; isolated","Someone who is insular is narrow-minded; isolated, and the character seemed exactly that.","Unit 05"
"insurgent","noun","one who rebels","The word insurgent refers to one who rebels, and that meaning fits the scene.","Unit 19"
"integral","adjective","necessary for completeness","Someone who is integral is necessary for completeness, and the character seemed exactly that.","Unit 22"
"interject","verb","to insert between other things","To interject means to insert between other things, so the group chose to interject before the problem became worse.","Unit 32"
"interlocutor","noun","a person who takes part in a conversation","The word interlocutor refers to a person who takes part in a conversation, and that meaning fits the scene.","Unit 10"
"interminable","adjective","without possibility of end","Someone who is interminable is without possibility of end, and the character seemed exactly that.","Unit 27"
"interrogate","verb","to question","To interrogate means to question, so the group chose to interrogate before the problem became worse.","Unit 47"
"intimation","noun","an indirect suggestion","The word intimation refers to an indirect suggestion, and that meaning fits the scene.","Unit 03"
"intractable","adjective","difficult to manipulate, unmanageable","Someone who is intractable is difficult to manipulate, unmanageable, and the character seemed exactly that.","Unit 25"
"intransigent","adjective","refusing to yield or compromise","Someone who is intransigent is refusing to yield or compromise, and the character seemed exactly that.","Unit 33"
"intrepid","adjective","brave in the face of danger","Someone who is intrepid is brave in the face of danger, and the character seemed exactly that.","Unit 09"
"intuitive","adjective","knowing through feelings rather than from reasoning or observation","Someone who is intuitive is knowing through feelings rather than from reasoning or observation, and the character seemed exactly that.","Unit 03"
"inundate","verb","to flood","To inundate means to flood, so the group chose to inundate before the problem became worse.","Unit 18"
"inure","verb","to cause someone or something to become accustomed to a situation","To inure means to cause someone or something to become accustomed to a situation, so the group chose to inure before the problem became worse.","Unit 26"
"invective","noun","an angry verbal attack","The word invective refers to an angry verbal attack, and that meaning fits the scene.","Unit 16"
"inveterate","adjective","stubbornly established by habit","Someone who is inveterate is stubbornly established by habit, and the character seemed exactly that.","Unit 15"
"invidious","adjective","intended to hurt, offend, or discriminate","Someone who is invidious is intended to hurt, offend, or discriminate, and the character seemed exactly that.","Unit 05"
"invigorate","verb","to give life or energy to","To invigorate means to give life or energy to, so the group chose to invigorate before the problem became worse.","Unit 01"
"inviolable","adjective","secure from assault","Someone who is inviolable is secure from assault, and the character seemed exactly that.","Unit 16"
"invoke","verb","to summon into action or bring into existence","To invoke means to summon into action or bring into existence, so the group chose to invoke before the problem became worse.","Unit 45"
"irascible","adjective","quickly aroused to anger","Someone who is irascible is quickly aroused to anger, and the character seemed exactly that.","Unit 46"
"iridescent","adjective","showing rainbow colors","Someone who is iridescent is showing rainbow colors, and the character seemed exactly that.","Unit 37"
"irrelevant","adjective","unrelated; not connected","Someone who is irrelevant is unrelated; not connected, and the character seemed exactly that.","Unit 25"
"irreverence","noun","disrespect","The word irreverence refers to disrespect, and that meaning fits the scene.","Unit 43"
"irrevocable","adjective","incapable of being taken back","Someone who is irrevocable is incapable of being taken back, and the character seemed exactly that.","Unit 08"
"itinerant","adjective","traveling from place to place to work","Someone who is itinerant is traveling from place to place to work, and the character seemed exactly that.","Unit 14"
"jaded","adjective","having become dull or worn out from overexposure","Someone who is jaded is having become dull or worn out from overexposure, and the character seemed exactly that.","Unit 38"
"jubilant","adjective","extremely joyful, happy","Someone who is jubilant is extremely joyful, happy, and the character seemed exactly that.","Unit 12"
"judicious","adjective","having or exercising sound judgment","Someone who is judicious is having or exercising sound judgment, and the character seemed exactly that.","Unit 08"
"juxtapose","verb","to place side by side","To juxtapose means to place side by side, so the group chose to juxtapose before the problem became worse.","Unit 44"
"juxtaposition","noun","the act of placing two things next to each other for implicit comparison","The word juxtaposition refers to the act of placing two things next to each other for implicit comparison, and that meaning fits the scene.","Unit 06"
"knell","noun","the solemn sound of a bell, often indicating a death","The word knell refers to the solemn sound of a bell, often indicating a death, and that meaning fits the scene.","Unit 19"
"kudos","noun","praise for an achievement","The word kudos refers to praise for an achievement, and that meaning fits the scene.","Unit 09"
"laceration","noun","a cut, tear","The word laceration refers to a cut, tear, and that meaning fits the scene.","Unit 30"
"laconic","adjective","terse in speech or writing","Someone who is laconic is terse in speech or writing, and the character seemed exactly that.","Unit 45"
"lament","verb","To feel sorrow for; to mourn","To lament means to feel sorrow for; to mourn, so the group chose to lament before the problem became worse.","Unit 09"
"languid","adjective","sluggish from fatigue or weakness","Someone who is languid is sluggish from fatigue or weakness, and the character seemed exactly that.","Unit 33"
"larceny","noun","obtaining another's property by theft or trickery","The word larceny refers to obtaining another's property by theft or trickery, and that meaning fits the scene.","Unit 11"
"largess","noun","the generous giving of lavish gifts","The word largess refers to the generous giving of lavish gifts, and that meaning fits the scene.","Unit 06"
"latent","adjective","hidden, but capable of being exposed","Someone who is latent is hidden, but capable of being exposed, and the character seemed exactly that.","Unit 46"
"laud","verb","to praise, glorify, or honor","To laud means to praise, glorify, or honor, so the group chose to laud before the problem became worse.","Unit 36"
"laudatory","adjective","expressing admiration or praise","Someone who is laudatory is expressing admiration or praise, and the character seemed exactly that.","Unit 13"
"lavish","adjective","very generous or extravagant","Someone who is lavish is very generous or extravagant, and the character seemed exactly that.","Unit 08"
"layperson","noun","a person who is not a member of the clergy or a particular profession","The word layperson refers to a person who is not a member of the clergy or a particular profession, and that meaning fits the scene.","Unit 41"
"legerdemain","noun","deception, slight-of-hand","The word legerdemain refers to deception, slight-of-hand, and that meaning fits the scene.","Unit 34"
"legitimate","adjective","lawful; in accordance with accepted standards; genuine","Someone who is legitimate is lawful; in accordance with accepted standards; genuine, and the character seemed exactly that.","Unit 01"
"lenient","adjective","demonstrating tolerance or gentleness","Someone who is lenient is demonstrating tolerance or gentleness, and the character seemed exactly that.","Unit 42"
"lethargic","adjective","in a state of sluggishness or apathy","Someone who is lethargic is in a state of sluggishness or apathy, and the character seemed exactly that.","Unit 32"
"lexicography","noun","he act of writing dictionaries","The word lexicography refers to he act of writing dictionaries, and that meaning fits the scene.","Unit 37"
"liberate","adjective","free; unrestrained","Someone who is liberate is free; unrestrained, and the character seemed exactly that.","Unit 27"
"libertarian","adjective","advocating principles of liberty and free will","Someone who is libertarian is advocating principles of liberty and free will, and the character seemed exactly that.","Unit 36"
"licentious","adjective","displaying a lack of moral or legal restraints","Someone who is licentious is displaying a lack of moral or legal restraints, and the character seemed exactly that.","Unit 13"
"limpid","adjective","clear, transparent","Someone who is limpid is clear, transparent, and the character seemed exactly that.","Unit 29"
"linchpin","noun","something that holds separate parts together","The word linchpin refers to something that holds separate parts together, and that meaning fits the scene.","Unit 44"
"lithe","adjective","graceful, flexible, supple","Someone who is lithe is graceful, flexible, supple, and the character seemed exactly that.","Unit 21"
"litigant","noun","someone engaged in a lawsuit","The word litigant refers to someone engaged in a lawsuit, and that meaning fits the scene.","Unit 38"
"lobbyist","noun","a person who persuades legislators to vote in favor of a specific cause","The word lobbyist refers to a person who persuades legislators to vote in favor of a specific cause, and that meaning fits the scene.","Unit 02"
"locomotion","noun","Movement","The word locomotion refers to movement, and that meaning fits the scene.","Unit 40"
"longevity","noun","length of life","The word longevity refers to length of life, and that meaning fits the scene.","Unit 14"
"loquacious","adjective","extremely talkative","Someone who is loquacious is extremely talkative, and the character seemed exactly that.","Unit 43"
"lucid","adjective","clear; easy to understand","Someone who is lucid is clear; easy to understand, and the character seemed exactly that.","Unit 30"
"lucrative","adjective","Capable of making a lot of money; profitable","Someone who is lucrative is capable of making a lot of money; profitable, and the character seemed exactly that.","Unit 42"
"lugubrious","adjective","excessively mournful; sad and gloomy Lucy's lugubrious behavior has started to annoy her friends; it has been two months since her breakup with Josh, but she Vocabulary: Repeat Offenders www.powerscore.com 65 is still as gloomy as if it had happened yesterday","Someone who is lugubrious is excessively mournful; sad and gloomy Lucy's lugubrious behavior has started to annoy her friends; it has been two months since her breakup with Josh, but she Vocabulary: Repeat Offenders www.powerscore.com 65 is still as gloomy as if it had happened yesterday, and the character seemed exactly that.","Unit 10"
"luminous","adjective","brightly shining","Someone who is luminous is brightly shining, and the character seemed exactly that.","Unit 16"
"lurid","adjective","ghastly, sensational","Someone who is lurid is ghastly, sensational, and the character seemed exactly that.","Unit 14"
"machination","noun","a crafty plot","The word machination refers to a crafty plot, and that meaning fits the scene.","Unit 44"
"maelstrom","noun","a destructive whirlpool which rapidly sucks in objects","The word maelstrom refers to a destructive whirlpool which rapidly sucks in objects, and that meaning fits the scene.","Unit 28"
"magnanimous","adjective","noble and generous in spirit","Someone who is magnanimous is noble and generous in spirit, and the character seemed exactly that.","Unit 10"
"malediction","noun","a curse","The word malediction refers to a curse, and that meaning fits the scene.","Unit 42"
"malevolent","adjective","evil","Someone who is malevolent is evil, and the character seemed exactly that.","Unit 14"
"malice","noun","a desire to make others suffer","The word malice refers to a desire to make others suffer, and that meaning fits the scene.","Unit 27"
"malicious","adjective","Harmful, spiteful","Someone who is malicious is harmful, spiteful, and the character seemed exactly that.","Unit 09"
"malleable","adjective","Capable of being molded or changed","Someone who is malleable is capable of being molded or changed, and the character seemed exactly that.","Unit 37"
"malodorous","adjective","having an unpleasant smell","Someone who is malodorous is having an unpleasant smell, and the character seemed exactly that.","Unit 44"
"mandate","verb","to require (often by law)","To mandate means to require (often by law), so the group chose to mandate before the problem became worse.","Unit 03"
"manifold","adjective","diverse, varied","Someone who is manifold is diverse, varied, and the character seemed exactly that.","Unit 19"
"mar","verb","to make imperfect; to disfigure","To mar means to make imperfect; to disfigure, so the group chose to mar before the problem became worse.","Unit 34"
"martinet","noun","a person who rigidly demands that rules are followed; a strict disciplinarian","The word martinet refers to a person who rigidly demands that rules are followed; a strict disciplinarian, and that meaning fits the scene.","Unit 40"
"materialistic","adjective","Superficial; focus on material possessions","Someone who is materialistic is superficial; focus on material possessions, and the character seemed exactly that.","Unit 40"
"matriarch","noun","the female head of a family","The word matriarch refers to the female head of a family, and that meaning fits the scene.","Unit 22"
"maudlin","adjective","weakly sentimental","Someone who is maudlin is weakly sentimental, and the character seemed exactly that.","Unit 23"
"maverick","noun","a person who chooses to be independent in behavior or thought Even though the other ranchers were branding their cattle, Sam was a maverick who believed he did not need to follow the rules set by his associates. Word Form: maverick (adj.) mediator: (n) a person who negotiates or settles disagreements between parties","The word maverick refers to a person who chooses to be independent in behavior or thought Even though the other ranchers were branding their cattle, Sam was a maverick who believed he did not need to follow the rules set by his associates. Word Form: maverick (adj.) mediator: (n) a person who negotiates or settles disagreements between parties, and that meaning fits the scene.","Unit 29"
"mawkish","adjective","characterized by sick sentimentality","Someone who is mawkish is characterized by sick sentimentality, and the character seemed exactly that.","Unit 21"
"maxim","noun","a common saying expressing a principle of conduct","The word maxim refers to a common saying expressing a principle of conduct, and that meaning fits the scene.","Unit 10"
"meager","adjective","deficient in size or quality","Someone who is meager is deficient in size or quality, and the character seemed exactly that.","Unit 06"
"mediocre","adjective","moderate to inferior in quality","Someone who is mediocre is moderate to inferior in quality, and the character seemed exactly that.","Unit 41"
"medley","noun","a mixture of differing things","The word medley refers to a mixture of differing things, and that meaning fits the scene.","Unit 09"
"melange","noun","a mixture","The word melange refers to a mixture, and that meaning fits the scene.","Unit 36"
"melodrama","noun","an exaggerated drama","The word melodrama refers to an exaggerated drama, and that meaning fits the scene.","Unit 34"
"melodramatic","adjective","Extravagant or exaggerated (as of a melodrama)","Someone who is melodramatic is extravagant or exaggerated (as of a melodrama), and the character seemed exactly that.","Unit 16"
"mendacious","adjective","lying, false, or untrue","Someone who is mendacious is lying, false, or untrue, and the character seemed exactly that.","Unit 45"
"mendicant","adjective","begging","Someone who is mendicant is begging, and the character seemed exactly that.","Unit 28"
"mercenary","noun","a person hired to fight for a country other than his own","The word mercenary refers to a person hired to fight for a country other than his own, and that meaning fits the scene.","Unit 43"
"mercurial","adjective","characterized by rapid change or temperamentality","Someone who is mercurial is characterized by rapid change or temperamentality, and the character seemed exactly that.","Unit 17"
"meritocracy","noun","a form of social system in which power goes to those with superior abilities Critics argue that a meritocracy cannot be fairly created, as intelligence and ability are difficult to measure accurately","The word meritocracy refers to a form of social system in which power goes to those with superior abilities Critics argue that a meritocracy cannot be fairly created, as intelligence and ability are difficult to measure accurately, and that meaning fits the scene.","Unit 14"
"meritorious","adjective","worthy of esteem or reward","Someone who is meritorious is worthy of esteem or reward, and the character seemed exactly that.","Unit 21"
"metamorphosis","noun","the change of form, shape, substance","The word metamorphosis refers to the change of form, shape, substance, and that meaning fits the scene.","Unit 21"
"meticulous","adjective","extremely careful and precise with details","Someone who is meticulous is extremely careful and precise with details, and the character seemed exactly that.","Unit 43"
"misanthrope","noun","a person who hates and distrusts mankind","The word misanthrope refers to a person who hates and distrusts mankind, and that meaning fits the scene.","Unit 06"
"miscreant","noun","a person who is evil or villainous","The word miscreant refers to a person who is evil or villainous, and that meaning fits the scene.","Unit 28"
"miser","noun","a stingy person who lives in miserable conditions in order to save money","The word miser refers to a stingy person who lives in miserable conditions in order to save money, and that meaning fits the scene.","Unit 29"
"missionary","noun","a person who is sent on a religious or charitable mission","The word missionary refers to a person who is sent on a religious or charitable mission, and that meaning fits the scene.","Unit 24"
"mitigate","verb","to make less intense or severe","To mitigate means to make less intense or severe, so the group chose to mitigate before the problem became worse.","Unit 15"
"modest","adjective","Simple and humble","Someone who is modest is simple and humble, and the character seemed exactly that.","Unit 32"
"modicum","noun","a small amount of something","The word modicum refers to a small amount of something, and that meaning fits the scene.","Unit 39"
"modify","verb","To change, alter, or tweak","To modify means to change, alter, or tweak, so the group chose to modify before the problem became worse.","Unit 09"
"modulate","verb","to pass from one state to another, especially in music","To modulate means to pass from one state to another, especially in music, so the group chose to modulate before the problem became worse.","Unit 16"
"mogul","noun","a very wealthy or powerful person","The word mogul refers to a very wealthy or powerful person, and that meaning fits the scene.","Unit 12"
"mollify","verb","to soften in temper","To mollify means to soften in temper, so the group chose to mollify before the problem became worse.","Unit 39"
"monarch","noun","a ruler, such as a king or queen","The word monarch refers to a ruler, such as a king or queen, and that meaning fits the scene.","Unit 15"
"monotony","noun","tiresome routine; lack of variety","The word monotony refers to tiresome routine; lack of variety, and that meaning fits the scene.","Unit 15"
"morass","noun","1. a swamp 2. a difficult situation","The word morass refers to 1. a swamp 2. a difficult situation, and that meaning fits the scene.","Unit 06"
"moratorium","noun","suspension of an ongoing activity","The word moratorium refers to suspension of an ongoing activity, and that meaning fits the scene.","Unit 47"
"mores","noun","the moral attitudes and fixed customs of a group of people","The word mores refers to the moral attitudes and fixed customs of a group of people, and that meaning fits the scene.","Unit 35"
"morose","adjective","gloomy or sullen","Someone who is morose is gloomy or sullen, and the character seemed exactly that.","Unit 18"
"multifarious","adjective","having great diversity or variety","Someone who is multifarious is having great diversity or variety, and the character seemed exactly that.","Unit 09"
"mundane","adjective","ordinary and somewhat boring","Someone who is mundane is ordinary and somewhat boring, and the character seemed exactly that.","Unit 02"
"munificence","noun","generosity in giving","The word munificence refers to generosity in giving, and that meaning fits the scene.","Unit 26"
"munificent","adjective","very generous","Someone who is munificent is very generous, and the character seemed exactly that.","Unit 01"
"muse","noun","the person who is the source of an artist's inspiration","The word muse refers to the person who is the source of an artist's inspiration, and that meaning fits the scene.","Unit 47"
"mutable","adjective","able to change","Someone who is mutable is able to change, and the character seemed exactly that.","Unit 25"
"myopic","adjective","lacking long-term vision","Someone who is myopic is lacking long-term vision, and the character seemed exactly that.","Unit 26"
"myriad","adjective","consisting of a very great number","Someone who is myriad is consisting of a very great number, and the character seemed exactly that.","Unit 25"
"nadir","noun","the lowest point of something","The word nadir refers to the lowest point of something, and that meaning fits the scene.","Unit 13"
"narcissist","noun","a person who has excessive love or admiration of himself","The word narcissist refers to a person who has excessive love or admiration of himself, and that meaning fits the scene.","Unit 32"
"nascent","adjective","being born or beginning","Someone who is nascent is being born or beginning, and the character seemed exactly that.","Unit 13"
"naysayer","noun","a person who always expresses a negative attitude Although the forecast for the day was good, Nathan was a naysayer and predicted the ceremony would be ruined by rain","The word naysayer refers to a person who always expresses a negative attitude Although the forecast for the day was good, Nathan was a naysayer and predicted the ceremony would be ruined by rain, and that meaning fits the scene.","Unit 23"
"nebulous","adjective","vaguely defined, cloudy","Someone who is nebulous is vaguely defined, cloudy, and the character seemed exactly that.","Unit 23"
"nefarious","adjective","extremely wicked","Someone who is nefarious is extremely wicked, and the character seemed exactly that.","Unit 45"
"negligent","adjective","careless and neglectful","Someone who is negligent is careless and neglectful, and the character seemed exactly that.","Unit 21"
"neophyte","noun","a beginner","The word neophyte refers to a beginner, and that meaning fits the scene.","Unit 28"
"nihilism","noun","belief in the rejection of rules and the destruction of social and political order","The word nihilism refers to belief in the rejection of rules and the destruction of social and political order, and that meaning fits the scene.","Unit 12"
"nocturnal","adjective","relating to or occurring during the night","Someone who is nocturnal is relating to or occurring during the night, and the character seemed exactly that.","Unit 13"
"noisome","adjective","unpleasant, offensive, especially to the sense of smell","Someone who is noisome is unpleasant, offensive, especially to the sense of smell, and the character seemed exactly that.","Unit 12"
"nomadic","adjective","wandering from place to place","Someone who is nomadic is wandering from place to place, and the character seemed exactly that.","Unit 07"
"nominal","adjective","trifling, insignificant","Someone who is nominal is trifling, insignificant, and the character seemed exactly that.","Unit 04"
"nonchalant","adjective","coolly casual and unconcerned","Someone who is nonchalant is coolly casual and unconcerned, and the character seemed exactly that.","Unit 17"
"nondescript","adjective","lacking a distinctive character","Someone who is nondescript is lacking a distinctive character, and the character seemed exactly that.","Unit 03"
"nostalgia","noun","a desire to return to the past","The word nostalgia refers to a desire to return to the past, and that meaning fits the scene.","Unit 12"
"notorious","adjective","well-known for unfavorable reasons","Someone who is notorious is well-known for unfavorable reasons, and the character seemed exactly that.","Unit 28"
"novice","noun","a beginner, someone without training or experience","The word novice refers to a beginner, someone without training or experience, and that meaning fits the scene.","Unit 22"
"noxious","adjective","harmful, unwholesome","Someone who is noxious is harmful, unwholesome, and the character seemed exactly that.","Unit 03"
"nuance","noun","a subtle difference","The word nuance refers to a subtle difference, and that meaning fits the scene.","Unit 27"
"nurture","verb","to assist the development of","To nurture means to assist the development of, so the group chose to nurture before the problem became worse.","Unit 31"
"obdurate","adjective","stubborn","Someone who is obdurate is stubborn, and the character seemed exactly that.","Unit 11"
"obfuscate","verb","to confuse or make unclear","To obfuscate means to confuse or make unclear, so the group chose to obfuscate before the problem became worse.","Unit 23"
"objective","adjective","not influenced by personal feelings or bias","Someone who is objective is not influenced by personal feelings or bias, and the character seemed exactly that.","Unit 08"
"oblique","adjective","diverging from a straight line or course, not straightforward","Someone who is oblique is diverging from a straight line or course, not straightforward, and the character seemed exactly that.","Unit 02"
"oblivious","adjective","lacking consciousness or awareness of something","Someone who is oblivious is lacking consciousness or awareness of something, and the character seemed exactly that.","Unit 16"
"obscure","adjective","not clearly understood or expressed","Someone who is obscure is not clearly understood or expressed, and the character seemed exactly that.","Unit 46"
"obsequious","adjective","overly flattering or obedient","Someone who is obsequious is overly flattering or obedient, and the character seemed exactly that.","Unit 43"
"obsolete","adjective","no longer in use","Someone who is obsolete is no longer in use, and the character seemed exactly that.","Unit 19"
"obstinate","adjective","extremely stubborn","Someone who is obstinate is extremely stubborn, and the character seemed exactly that.","Unit 03"
"obstreperous","adjective","noisily defiant or aggressive","Someone who is obstreperous is noisily defiant or aggressive, and the character seemed exactly that.","Unit 17"
"obstructionist","noun","a person who purposely blocks progress","The word obstructionist refers to a person who purposely blocks progress, and that meaning fits the scene.","Unit 33"
"obtuse","adjective","lacking quickness of sensibility or intellect","Someone who is obtuse is lacking quickness of sensibility or intellect, and the character seemed exactly that.","Unit 19"
"odious","adjective","instilling hatred or intense displeasure","Someone who is odious is instilling hatred or intense displeasure, and the character seemed exactly that.","Unit 38"
"officious","adjective","offering one's services when they are neither wanted nor needed","Someone who is officious is offering one's services when they are neither wanted nor needed, and the character seemed exactly that.","Unit 40"
"ominous","adjective","threatening or foreshadowing evil","Someone who is ominous is threatening or foreshadowing evil, and the character seemed exactly that.","Unit 31"
"onerous","adjective","burdensome","Someone who is onerous is burdensome, and the character seemed exactly that.","Unit 17"
"opaque","adjective","not clear; not allowing light to pass through","Someone who is opaque is not clear; not allowing light to pass through, and the character seemed exactly that.","Unit 14"
"opportune","adjective","favorable or happening at a favorable time","Someone who is opportune is favorable or happening at a favorable time, and the character seemed exactly that.","Unit 31"
"oppress","verb","to keep down","To oppress means to keep down, so the group chose to oppress before the problem became worse.","Unit 22"
"opulent","adjective","rich and luxurious","Someone who is opulent is rich and luxurious, and the character seemed exactly that.","Unit 31"
"oracle","noun","a person who can see the future","The word oracle refers to a person who can see the future, and that meaning fits the scene.","Unit 40"
"oration","noun","a formal speech","The word oration refers to a formal speech, and that meaning fits the scene.","Unit 28"
"ornamentation","noun","decoration","The word ornamentation refers to decoration, and that meaning fits the scene.","Unit 36"
"ornate","adjective","highly decorated","Someone who is ornate is highly decorated, and the character seemed exactly that.","Unit 07"
"orthodox","adjective","customary; traditional","Someone who is orthodox is customary; traditional, and the character seemed exactly that.","Unit 47"
"oscillate","verb","to sway from one side to the other","To oscillate means to sway from one side to the other, so the group chose to oscillate before the problem became worse.","Unit 13"
"ostensible","adjective","pretended","Someone who is ostensible is pretended, and the character seemed exactly that.","Unit 06"
"ostentatious","adjective","excessively showy, glitzy","Someone who is ostentatious is excessively showy, glitzy, and the character seemed exactly that.","Unit 43"
"ostracism","noun","exclusion from a group","The word ostracism refers to exclusion from a group, and that meaning fits the scene.","Unit 13"
"oust","verb","To remove or force out of (usually a position or office)","To oust means to remove or force out of (usually a position or office), so the group chose to oust before the problem became worse.","Unit 46"
"overt","adjective","open and observable; not secret or hidden","Someone who is overt is open and observable; not secret or hidden, and the character seemed exactly that.","Unit 32"
"overwhelming","adjective","overpowering; intense","Someone who is overwhelming is overpowering; intense, and the character seemed exactly that.","Unit 22"
"pacific","adjective","soothing","Someone who is pacific is soothing, and the character seemed exactly that.","Unit 28"
"pacify","verb","to calm; to bring peace","To pacify means to calm; to bring peace, so the group chose to pacify before the problem became worse.","Unit 44"
"palatable","adjective","agreeable to the taste or sensibilities","Someone who is palatable is agreeable to the taste or sensibilities, and the character seemed exactly that.","Unit 15"
"palette","adjective","a range of colors or qualities","Someone who is palette is a range of colors or qualities, and the character seemed exactly that.","Unit 26"
"palliate","verb","to reduce the severity of","To palliate means to reduce the severity of, so the group chose to palliate before the problem became worse.","Unit 35"
"pallid","adjective","lacking color","Someone who is pallid is lacking color, and the character seemed exactly that.","Unit 44"
"panacea","noun","a cure for all diseases, or a solution to all problems The manager believed the new software was a panacea for all of the company's computer problems, but Pam was skeptical of its ability to improve the entire system","The word panacea refers to a cure for all diseases, or a solution to all problems The manager believed the new software was a panacea for all of the company's computer problems, but Pam was skeptical of its ability to improve the entire system, and that meaning fits the scene.","Unit 45"
"paradigm","noun","an example that is a perfect pattern or model","The word paradigm refers to an example that is a perfect pattern or model, and that meaning fits the scene.","Unit 29"
"paradox","noun","a statement that contradicts itself but nevertheless may still be true Vocabulary: Repeat Offenders www.powerscore.com 39","The word paradox refers to a statement that contradicts itself but nevertheless may still be true Vocabulary: Repeat Offenders www.powerscore.com 39, and that meaning fits the scene.","Unit 46"
"paragon","noun","a perfect example","The word paragon refers to a perfect example, and that meaning fits the scene.","Unit 39"
"paramount","adjective","Predominant, superior, most important","Someone who is paramount is predominant, superior, most important, and the character seemed exactly that.","Unit 24"
"parasite","noun","something or someone who attaches to another being for personal gain Polly was like a parasite, following me around in the hopes that she could become friends with the people I knew","The word parasite refers to something or someone who attaches to another being for personal gain Polly was like a parasite, following me around in the hopes that she could become friends with the people I knew, and that meaning fits the scene.","Unit 08"
"parenthetical","adjective","characterized by the use of parenthesis","Someone who is parenthetical is characterized by the use of parenthesis, and the character seemed exactly that.","Unit 18"
"pariah","noun","a person who is rejected; an outcast","The word pariah refers to a person who is rejected; an outcast, and that meaning fits the scene.","Unit 33"
